Номер задачи,Время нахождения первого решения,Время нахождения всех решений,Число решений
19,3.03646,13.0431,1
46,2.748624,13.2657,1
100,0.000229,13.0706,1
127,0.007281,12.3043,1
118,0.734095,11.842,1
73,0.043678,12.1302,1
55,3.089516,12.9465,1
82,1.236848,12.3205,1
28,2.654987,12.937,1
1,0.000149,12.663,1
109,0.003694,12.787,1
10,0.086769,12.7665,1
64,4.471336,12.7256,1
91,0.921384,12.8147,1
37,0.404856,11.7446,1
20,4.473863,12.2247,1
47,3.376873,12.5832,1
101,0.000138,12.268,1
128,4.942385,12.599,1
119,0.158122,12.2625,1
2,0.017588,11.8938,1
29,0.004311,12.1904,1
74,0.003005,13.0839,1
56,5.325749,13.0096,1
83,0.010287,12.8103,1
11,1.11459,12.9342,1
38,0.879086,12.3995,1
110,3.176859,12.3611,1
65,1.682848,12.8159,1
92,0.820537,12.2964,1
48,1.226746,13.0099,1
102,3.564946,11.6136,1
21,0.033576,12.8941,1
129,0.466269,13.0922,1
120,0.616497,12.4353,1
30,1.296313,12.7642,1
75,0.000662,12.5134,1
3,0.010363,12.3025,1
12,0.002668,12.1775,1
57,0.001057,12.069,1
84,0.244379,12.2316,1
111,0.247004,12.147,1
66,0.00967,12.7272,1
39,0.232793,12.0904,1
93,0.004896,13.2806,1
49,2.753316,13.1457,1
103,0.043223,13.3033,1
121,0.475093,14.1331,1
22,0.402886,13.9016,1
130,0.023061,13.4688,1
31,0.000523,13.8413,1
76,0.052426,13.1158,1
13,0.007508,13.0609,1
58,0.045091,13.3435,1
4,0.000469,13.3348,1
85,0.265491,12.8522,1
112,0.045313,13.233,1
67,3.952552,12.9958,1
40,1.041443,12.5537,1
94,3.642404,12.6982,1
50,0.000299,13.2245,1
104,1.968136,12.7002,1
122,0.024617,12.8734,1
23,0.108738,13.1872,1
131,0.001121,13.6683,1
32,1.642645,13.3415,1
77,0.002194,13.3365,1
14,4.783142,13.1841,1
59,2.530784,12.7588,1
5,0.351851,13.0624,1
86,1.180757,13.2781,1
68,2.815604,13.206,1
113,0.95815,13.2156,1
41,0.514997,12.7013,1
