Номер вектора,Вектор,a_max
1,"[49551, 35032, 119687, 34855, 57622, 125243, 68403, 316, 66315, 42252, 57180, 42112, 103738, 133559, 55011, 63935, 77269, 60227, 125794, 102560, 128944, 137806, 102716, 119601]",144715
2,"[134698, 45677, 76843, 90245, 11552, 35717, 78048, 59353, 12880, 128854, 127034, 89607, 10520, 81128, 92669, 68545, 57600, 14566, 131395, 108704, 136025, 143910, 77214, 114330]",144715
3,"[105883, 121794, 35624, 101603, 95988, 41679, 35901, 135591, 127264, 48198, 123136, 7980, 30826, 16209, 81160, 28480, 103525, 71094, 1165, 95381, 102424, 100432, 143348, 58304]",144715
4,"[60233, 16532, 42558, 123344, 74442, 114059, 118731, 24285, 80073, 43369, 14449, 38861, 29654, 130449, 3177, 48834, 110259, 61289, 109633, 96392, 60049, 113725, 80766, 20908]",144715
5,"[99791, 2377, 116211, 17928, 122269, 13255, 11212, 62747, 140510, 108230, 40092, 21601, 46429, 31773, 4232, 82669, 144580, 9732, 131871, 60557, 4829, 96658, 78469, 114402]",144715
6,"[91421, 129046, 134234, 138872, 101489, 53004, 30439, 7900, 22290, 35133, 138620, 18138, 45579, 67416, 63244, 60021, 61774, 76882, 14845, 51485, 123911, 31768, 80488, 144354]",144715
7,"[129849, 99375, 52321, 24818, 123100, 38723, 142333, 81686, 39545, 127444, 118674, 120909, 6495, 130337, 53462, 70051, 101100, 42797, 102984, 80168, 141787, 120218, 73332, 88120]",144715
8,"[2196, 5445, 93320, 25964, 129198, 65355, 46103, 84763, 11246, 65769, 96326, 70756, 80532, 94922, 28128, 107176, 25387, 16848, 63148, 80117, 112793, 107265, 127668, 144099]",144715
9,"[54775, 33562, 60816, 83161, 45581, 26682, 67982, 132348, 11867, 84182, 125658, 136748, 82905, 77207, 19179, 62204, 41558, 40397, 128034, 73231, 40219, 64090, 63888, 95761]",144715
10,"[102694, 43687, 125710, 75242, 108487, 23741, 120843, 10933, 107505, 38586, 114899, 89201, 31955, 52072, 104694, 63731, 51975, 91742, 58393, 93376, 16599, 92896, 123842, 65211]",144715
11,"[6454, 18683, 131093, 16881, 116710, 20831, 19802, 16244, 101751, 55509, 71006, 134919, 143269, 47137, 139248, 95312, 39331, 55410, 55589, 33370, 87909, 88496, 14555, 83912]",144715
12,"[47328, 19244, 96049, 99623, 77626, 107089, 62646, 77026, 50310, 87151, 68852, 143255, 34755, 109144, 16673, 85553, 85036, 77820, 5324, 17369, 71302, 61888, 115093, 90439]",144715
13,"[51486, 54461, 123455, 1582, 75516, 78671, 94133, 142177, 111669, 92588, 110382, 135516, 106390, 124626, 4284, 25, 50838, 8836, 113993, 107876, 24412, 22114, 112209, 85377]",144715
14,"[117722, 52464, 69313, 32486, 112745, 74339, 37042, 112627, 26990, 143193, 23424, 119003, 121864, 1299, 54484, 63888, 77524, 4126, 2585, 25226, 3237, 94088, 134754, 112501]",144715
15,"[67490, 30256, 135416, 65881, 77536, 41181, 141180, 6882, 2644, 15680, 100442, 109898, 101244, 99457, 122388, 12854, 10758, 77945, 133976, 120457, 52303, 35667, 143135, 107827]",144715
16,"[21157, 31308, 84456, 11533, 143536, 47926, 88116, 118566, 36045, 101255, 32657, 59572, 8339, 107204, 74096, 122841, 46581, 133322, 65450, 42234, 119584, 28175, 135583, 86857]",144715
17,"[33633, 80407, 21117, 13939, 7986, 49257, 44344, 8979, 43574, 24278, 23471, 26207, 126295, 75758, 38269, 96313, 106755, 82298, 83505, 38811, 109457, 112476, 7388, 139655]",144715
18,"[38757, 78383, 136290, 2973, 97222, 113505, 118968, 127876, 49557, 70143, 36975, 83808, 6529, 28961, 93125, 139231, 74146, 9538, 53064, 108733, 137047, 69223, 90935, 11171]",144715
19,"[18910, 71814, 136461, 127341, 114071, 76529, 14394, 12479, 92275, 83606, 109184, 115351, 404, 56261, 140276, 139704, 65737, 13911, 127560, 128014, 19767, 63801, 99958, 132685]",144715
20,"[120517, 94830, 50607, 127401, 134313, 139998, 135281, 2512, 26008, 112222, 110653, 134158, 69296, 43146, 110801, 49770, 137834, 30357, 89036, 64135, 26553, 20482, 86702, 125769]",144715
21,"[121006, 63136, 67933, 130661, 34704, 71588, 7104, 45219, 57529, 138924, 41515, 77340, 115664, 92403, 73429, 34569, 43568, 10146, 69610, 109990, 62365, 47176, 51479, 121014]",144715
22,"[70479, 125910, 6799, 27227, 70703, 123396, 133928, 36102, 41970, 107609, 138043, 99699, 86813, 33002, 111338, 7570, 82225, 83702, 67583, 78318, 116928, 25747, 58768, 11105]",144715
23,"[140395, 12931, 20865, 70046, 86645, 29424, 111948, 135805, 9223, 135480, 79860, 47086, 20977, 62749, 128636, 58832, 58752, 45295, 78503, 85566, 43962, 115280, 17606, 126390]",144715
24,"[134807, 66080, 6388, 4814, 50810, 124372, 4033, 84097, 117362, 58620, 16946, 124243, 99824, 57444, 14100, 76817, 94749, 18320, 4631, 12598, 8196, 8520, 10102, 18124]",144715
25,"[89392, 103161, 16716, 16217, 21656, 94914, 79585, 37718, 22280, 51836, 77074, 49232, 102637, 127899, 61583, 13585, 47004, 111346, 108732, 131505, 21311, 86615, 117231, 15423]",144715
26,"[3901, 63518, 106284, 106533, 139842, 4830, 96203, 31303, 30501, 55241, 77741, 8223, 36884, 137452, 84010, 69322, 74456, 943, 49032, 107920, 61350, 71228, 131453, 114010]",144715
27,"[1563, 73313, 33028, 61970, 8746, 98884, 53657, 30971, 99505, 109266, 9648, 29689, 17680, 140267, 41141, 139273, 80873, 96544, 5215, 36547, 31892, 128753, 31914, 16645]",144715
28,"[121901, 86826, 142157, 65820, 39632, 77198, 141549, 83649, 2779, 30275, 7409, 106130, 37432, 87303, 36102, 71950, 114440, 42968, 106540, 25830, 127934, 116660, 86749, 85868]",144715
29,"[75996, 58171, 119635, 2563, 93030, 66225, 125745, 11193, 57863, 136040, 71837, 98063, 142290, 116673, 38537, 60059, 105700, 48411, 51382, 104599, 82186, 82911, 127654, 122937]",144715
30,"[43091, 139279, 45992, 36071, 23362, 102684, 21984, 75310, 93085, 18645, 32813, 130648, 42542, 114105, 132000, 101930, 68190, 138066, 3058, 85477, 921, 49002, 138609, 44553]",144715
31,"[26898, 120021, 8857, 43194, 132926, 28389, 40952, 137453, 15733, 37015, 50969, 93834, 110710, 40907, 79031, 49318, 114295, 98349, 137256, 60532, 374, 108045, 112097, 107881]",144715
32,"[91959, 51541, 31442, 17497, 118867, 61699, 75900, 137645, 43880, 118129, 117731, 126747, 116976, 884, 22014, 64571, 55079, 27004, 131864, 22983, 62197, 64102, 69869, 74278]",144715
33,"[43212, 30514, 128789, 60376, 50055, 73976, 5783, 976, 123638, 140056, 107970, 103541, 44763, 49407, 91923, 54400, 95065, 133905, 79408, 81732, 25279, 97145, 96722, 123028]",144715
34,"[143247, 128926, 20472, 41308, 44880, 23807, 41972, 38575, 34466, 116514, 64547, 61617, 120634, 52185, 103419, 19739, 75995, 59080, 138211, 62106, 122990, 139129, 52526, 69118]",144715
35,"[144540, 1104, 9151, 82871, 33107, 26219, 110235, 54044, 66486, 12027, 13507, 55513, 90932, 115376, 80396, 9437, 108737, 76414, 36040, 94777, 98013, 62097, 44017, 143857]",144715
36,"[81017, 123391, 62145, 18681, 12664, 24597, 32722, 115859, 51979, 78731, 78192, 118607, 54228, 44519, 31371, 39751, 62154, 120447, 43392, 72156, 109066, 118856, 28586, 142263]",144715
37,"[55342, 102039, 18047, 118314, 94981, 27137, 120725, 105458, 115294, 24545, 16458, 38027, 16297, 55388, 130111, 142451, 34297, 43167, 97408, 113111, 67926, 79851, 91351, 19019]",144715
38,"[72347, 92297, 93848, 46516, 59960, 140789, 141994, 59722, 21028, 42101, 49688, 20330, 75368, 106463, 90173, 59285, 116724, 92754, 33764, 133433, 67196, 113580, 117191, 126369]",144715
39,"[122422, 67125, 105436, 36125, 4075, 129664, 27970, 97759, 70119, 83507, 70669, 123914, 52934, 110773, 109513, 26094, 28398, 130010, 51501, 56959, 93976, 45744, 32527, 34571]",144715
40,"[1744, 89503, 25912, 64375, 133897, 88000, 37174, 103732, 52826, 78942, 143741, 66190, 48762, 31654, 41492, 46520, 79889, 103391, 120966, 95313, 99240, 51035, 41746, 39540]",144715
41,"[143562, 27225, 10398, 17348, 117733, 38229, 133530, 62988, 30391, 97165, 121312, 105429, 35516, 118616, 57519, 21611, 127350, 64608, 61814, 88461, 103594, 131344, 107524, 51083]",144715
42,"[36479, 110568, 137595, 4104, 102850, 72131, 24413, 58727, 9504, 105145, 105833, 72297, 20031, 82934, 104811, 7048, 79548, 100445, 41385, 100690, 22108, 49257, 31693, 101497]",144715
43,"[122469, 12556, 120876, 29461, 104591, 136293, 40735, 83923, 76514, 47393, 68138, 75691, 125020, 109822, 34519, 71930, 17407, 54953, 42198, 68292, 17408, 53144, 55931, 67614]",144715
44,"[78023, 113917, 106405, 57344, 23002, 70211, 40536, 61081, 61388, 5516, 36383, 51848, 63411, 12064, 115547, 2132, 33285, 33393, 7027, 36359, 136867, 49650, 81281, 18114]",144715
