Номер задачи,Время работы алгортима,Достигнутый минимум фитнесс-функции,Причина остановки алгоритма,Номер последнего поколения
1,1.035682,355955,Нет улучшений на последних двух итерациях,546
118,1.003047,337318,Нет улучшений на последних двух итерациях,532
109,1.019204,945227,Нет улучшений на последних двух итерациях,520
73,1.082837,1835409,Нет улучшений на последних двух итерациях,562
100,1.117274,3371767,Нет улучшений на последних двух итерациях,581
46,1.179344,534703,Нет улучшений на последних двух итерациях,587
28,1.251873,362288,Нет улучшений на последних двух итерациях,641
37,1.270830,3731253,Нет улучшений на последних двух итерациях,658
82,1.313369,519284,Нет улучшений на последних двух итерациях,695
10,1.437146,1264017,Нет улучшений на последних двух итерациях,736
55,1.558020,2637222,Нет улучшений на последних двух итерациях,840
91,1.627624,5701218,Нет улучшений на последних двух итерациях,908
64,1.645690,70946,Нет улучшений на последних двух итерациях,867
127,1.850373,5117372,Нет улучшений на последних двух итерациях,995
19,1.917934,10796848,Достигнуто максимальное число поколений,1000
2,1.067195,129929,Нет улучшений на последних двух итерациях,622
74,0.975549,1294519,Нет улучшений на последних двух итерациях,548
110,1.062040,1383804,Нет улучшений на последних двух итерациях,579
119,1.281823,906540,Нет улучшений на последних двух итерациях,719
11,0.949797,493781,Нет улучшений на последних двух итерациях,552
47,1.249350,862089,Нет улучшений на последних двух итерациях,724
56,1.019536,329032,Нет улучшений на последних двух итерациях,586
101,1.756269,741480,Достигнуто максимальное число поколений,1000
128,1.085897,632332,Нет улучшений на последних двух итерациях,650
29,1.756754,73412,Достигнуто максимальное число поколений,1000
38,1.744702,427108,Достигнуто максимальное число поколений,1000
92,1.407574,1838930,Нет улучшений на последних двух итерациях,806
83,1.764145,4276768,Достигнуто максимальное число поколений,1000
65,1.474753,117712,Нет улучшений на последних двух итерациях,854
3,1.110823,3424123,Нет улучшений на последних двух итерациях,652
120,0.862661,1330015,Нет улучшений на последних двух итерациях,507
75,1.164693,1268199,Нет улучшений на последних двух итерациях,656
12,0.907020,1100622,Нет улучшений на последних двух итерациях,543
48,0.906604,452719,Нет улучшений на последних двух итерациях,532
