Номер задачи,Номер вектора,Целевой вес,Доля предметов
1,1,2960488,0.17
2,1,1999569,0.12
3,1,1659813,0.08
4,1,1545189,0.08
5,1,7194965,0.46
6,1,4989793,0.29
7,1,4613700,0.29
8,1,2759590,0.17
9,1,5292985,0.38
10,1,5995058,0.46
11,2,5543151,0.42
12,2,2214910,0.17
13,2,5179125,0.50
14,2,1801571,0.12
15,2,1024159,0.08
16,2,6464673,0.50
17,2,2364509,0.17
18,2,6262584,0.46
19,2,2702815,0.21
20,2,3574145,0.25
21,3,2130758,0.25
22,3,5140338,0.50
23,3,2425703,0.17
24,3,2856405,0.25
25,3,614677,0.08
26,3,5063490,0.46
27,3,3624443,0.21
28,3,4431759,0.38
29,3,1915433,0.17
30,3,997938,0.12
31,4,5958774,0.50
32,4,659978,0.12
33,4,4275436,0.38
34,4,5041123,0.38
35,4,3575427,0.33
36,4,4918205,0.33
37,4,4598818,0.42
38,4,5131579,0.50
39,4,4778777,0.38
40,4,953211,0.08
41,5,878498,0.12
42,5,950157,0.08
43,5,5025429,0.46
44,5,2040497,0.21
45,5,3186580,0.29
46,5,1526147,0.17
47,5,4009332,0.38
48,5,1091369,0.17
49,5,1406851,0.12
50,5,450667,0.08
51,6,4576408,0.29
52,6,5121344,0.46
53,6,3767676,0.25
54,6,3686188,0.25
55,6,3810042,0.21
56,6,6083404,0.46
57,6,6840477,0.50
58,6,6528625,0.46
59,6,5569525,0.42
60,6,1731381,0.17
61,7,1229097,0.21
62,7,6064157,0.42
63,7,3373711,0.29
64,7,6015085,0.42
65,7,6121421,0.38
66,7,2287804,0.17
67,7,2590011,0.25
68,7,4894198,0.33
69,7,2066218,0.21
70,7,1567075,0.12
71,8,2477948,0.42
72,8,1657880,0.17
73,8,4275486,0.46
74,8,2347295,0.17
75,8,2343304,0.25
76,8,3495552,0.50
77,8,229313,0.08
78,8,2332764,0.29
79,8,4388509,0.42
80,8,3405102,0.33
81,9,1603816,0.17
82,9,2661237,0.29
83,9,4216906,0.38
84,9,3497641,0.38
85,9,3835843,0.29
86,9,4978148,0.46
87,9,1790211,0.21
88,9,2123245,0.17
89,9,3158065,0.33
90,9,2014521,0.17
91,10,649252,0.08
92,10,2639252,0.21
93,10,3296796,0.25
94,10,4639213,0.38
95,10,1954476,0.12
96,10,6251239,0.46
97,10,3998691,0.38
98,10,4845426,0.38
99,10,4470377,0.38
100,10,711986,0.08
101,11,5599713,0.46
102,11,5653599,0.38
103,11,1116929,0.12
104,11,426947,0.08
105,11,3013788,0.25
106,11,4571521,0.38
107,11,4722010,0.29
108,11,5541030,0.33
109,11,4443951,0.25
110,11,3785100,0.38
111,12,2322750,0.25
112,12,2607524,0.21
113,12,3571900,0.38
114,12,3067351,0.29
115,12,5337470,0.46
116,12,835555,0.08
117,12,953055,0.08
118,12,3962450,0.42
119,12,3577488,0.46
120,12,2580085,0.29
121,13,2487063,0.29
122,13,2674720,0.21
123,13,4467166,0.42
124,13,2349944,0.29
125,13,5270230,0.50
126,13,5483994,0.46
127,13,730489,0.08
128,13,4351334,0.42
129,13,5002478,0.50
130,13,5749573,0.46
131,14,4871245,0.46
132,14,7137773,0.50
133,14,4659638,0.38
134,14,3464719,0.25
135,14,3532533,0.29
136,14,6154896,0.50
137,14,1377958,0.12
138,14,1957768,0.17
139,14,6930055,0.50
140,14,3564681,0.38
141,15,2468605,0.21
142,15,4836509,0.46
143,15,4597198,0.33
144,15,4458917,0.33
145,15,4682848,0.46
146,15,2463949,0.21
147,15,6116942,0.38
148,15,5452143,0.46
149,15,6216370,0.46
